parcelnum	hemis	X	Y	Z	lobe	region	network	yeo7	yeo17	final_groups
146	L	-34.48	-73.22	44.52	Parietal	inferiorparietal	Frontal-Parietal	7Networks_7	17Networks_16	224
147	L	-44.19	-63.99	41.25	Parietal	inferiorparietal	Frontal-Parietal	7Networks_7	17Networks_16	225
148	L	-41	-55.85	44.33	Parietal	inferiorparietal	Frontal-Parietal	7Networks_6	17Networks_13	226
149	L	-27.97	-66.61	44.06	Parietal	inferiorparietal	Frontal-Parietal	7Networks_7	17Networks_13	227
150	L	-30.04	-48.97	37.45	Parietal	supramarginal	Parietal-Episodic-Retrieval	7Networks_6	17Networks_13	409
151	L	-25.63	-73.59	29.72	Occipital	inferiorparietal	Default	7Networks_1	17Networks_5	134
152	L	-24.39	-63.82	48.17	Parietal	superiorparietal	Frontal-Parietal	7Networks_3	17Networks_12	228
153	L	-33.28	-47.65	45.43	Parietal	superiorparietal	First-Dorsal-Attention	7Networks_3	17Networks_12	181
154	L	-28.49	-54.91	57.66	Parietal	superiorparietal	Second-Visual	7Networks_3	17Networks_5	470
155	L	-37.06	-45.5	54.47	Parietal	superiorparietal	Second-Dorsal-Attention	7Networks_3	17Networks_6	448
156	L	-28.66	-90.08	12.52	Occipital	lateraloccipital	Second-Visual	7Networks_1	17Networks_1	471
157	L	-37.04	-83.83	9.88	Occipital	lateraloccipital	Second-Visual	7Networks_1	17Networks_1	472
158	L	-42.92	-74.51	3.47	Occipital	lateraloccipital	Second-Visual	7Networks_1	17Networks_1	473
159	L	-46.28	-67.62	2.49	Occipital	lateraloccipital	Cingulo-opercular	7Networks_3	17Networks_5	36
160	L	-53.63	-61.06	-12.81	Temporal	inferiortemporal	Frontal-Parietal	7Networks_6	17Networks_12	229
161	L	-58.92	-53.45	-0.84	Temporal	middletemporal	Frontal-Parietal	7Networks_6	17Networks_13	230
162	L	-49.06	-60.78	-3.92	Temporal	middletemporal	Cingulo-opercular	7Networks_3	17Networks_6	37
163	L	-39.4	-62.98	7.89	Occipital	inferiorparietal	Cingulo-opercular	7Networks_7	17Networks_14	38
164	L	-41.28	-72.72	20.7	Occipital	inferiorparietal	Parieto-Occipital	7Networks_3	17Networks_5	418
165	L	-52.49	-60.65	9.47	Occipital	middletemporal	Ventral-Attention-Language	7Networks_4	17Networks_6	610
166	L	-35.93	-81.7	23.92	Occipital	inferiorparietal	Cingulo-opercular	7Networks_3	17Networks_5	39
167	L	-36.06	-68.57	27.43	Parietal	inferiorparietal	Default	7Networks_7	17Networks_16	135
168	L	-59.03	0.42	19.17	Frontal	precentral	Cingulo-opercular	7Networks_2	17Networks_4	40
169	L	-53.07	-3.26	11.58	Frontal	precentral	Cingulo-opercular	7Networks_4	17Networks_7	41
170	L	-49.49	-13.73	10.03	Temporal	postcentral	Cingulo-opercular	7Networks_2	17Networks_4	42
171	L	-57.07	-30.86	22.86	Parietal	supramarginal	Cingulo-opercular	7Networks_4	17Networks_7	43
172	L	-45.94	-33.81	20.06	Parietal	supramarginal	Cingulo-opercular	7Networks_4	17Networks_7	44
173	L	-54.39	-21.23	16.53	Parietal	supramarginal	Cingulo-opercular	7Networks_2	17Networks_4	45
174	L	-59.1	-13	11.86	Parietal	postcentral	Somatomotor	7Networks_2	17Networks_4	544
175	L	-39.27	4.54	42.07	Frontal	caudalmiddlefrontal	Frontal-Parietal	7Networks_6	17Networks_12	231
176	L	-35.03	2.08	33.13	Frontal	caudalmiddlefrontal	Frontal-Parietal	7Networks_6	17Networks_12	232
177	L	-39.94	12.41	35.63	Frontal	caudalmiddlefrontal	Default	7Networks_6	17Networks_13	136
178	L	-36.23	20.62	31.21	Frontal	parsopercularis	Frontal-Parietal	7Networks_6	17Networks_12	233
179	L	-45.7	32.2	19.14	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_6	17Networks_12	234
180	L	-39.13	39.25	17.98	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_6	17Networks_8	235
181	L	-43.13	11.59	1.78	Frontal	parsopercularis	Ventral-Attention-Language	7Networks_4	17Networks_8	611
182	L	-46.49	23.55	15.84	Frontal	parstriangularis	Ventral-Attention-Language	7Networks_6	17Networks_12	612
183	L	-52.31	13.04	15.69	Frontal	parsopercularis	Ventral-Attention-Language	7Networks_7	17Networks_17	613
184	L	-52.22	17.44	25.76	Frontal	parsopercularis	Cingulo-opercular	7Networks_7	17Networks_17	46
185	L	-50.14	-1.62	3.65	Frontal	precentral	Cingulo-opercular	7Networks_4	17Networks_7	47
186	L	-42.96	25.64	24.9	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_6	17Networks_12	236
187	L	-49.34	5.46	28.77	Frontal	parsopercularis	Frontal-Parietal	7Networks_6	17Networks_12	237
188	L	-44.67	4.76	15.56	Frontal	parsopercularis	First-Dorsal-Attention	7Networks_4	17Networks_7	182
189	L	-38.41	2.26	29.37	Frontal	parsopercularis	Frontal-Parietal	7Networks_3	17Networks_12	238
190	L	-48.87	-1.5	26.26	Frontal	precentral	First-Dorsal-Attention	7Networks_4	17Networks_12	183
191	L	-29.64	55.09	4.27	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_7	17Networks_13	239
192	L	-21.27	53.67	0.4	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_5	17Networks_10	240
193	L	-11.78	56.99	-6.24	Frontal	rostralmiddlefrontal	none	7Networks_5	17Networks_10	341
194	L	-5.48	52.33	-0.02	Frontal	medialorbitofrontal	Default	7Networks_7	17Networks_17	137
195	L	-5.45	32.79	-13.41	Frontal	medialorbitofrontal	Default	7Networks_7	17Networks_16	138
196	L	-6.05	24.02	-9.92	Frontal	medialorbitofrontal	Frontal-Parietal	7Networks_5	17Networks_10	241
197	L	-4.93	11.87	-12.04	Frontal	medialorbitofrontal	none	7Networks_5	17Networks_10	342
198	L	-25.6	-0.75	-22.72	Temporal	temporalpole	none	7Networks_5	17Networks_9	343
199	L	-42.37	43.5	-6.67	Frontal	parsorbitalis	Frontal-Parietal	7Networks_7	17Networks_13	242
200	L	-38.03	34.19	-8.62	Frontal	parsorbitalis	Frontal-Parietal	7Networks_7	17Networks_17	243
201	L	-32.71	28.61	-11.21	Frontal	lateralorbitofrontal	Default	7Networks_7	17Networks_17	139
202	L	-26.11	3.4	-15.95	Temporal	insula	Cingulo-opercular	FreeSurfer_Defined_Medial_Wall	FreeSurfer_Defined_Medial_Wall	48
203	L	-27.37	51.96	-7.58	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_5	17Networks_10	244
204	L	-24.39	22.42	-14.15	Frontal	lateralorbitofrontal	Frontal-Parietal	7Networks_5	17Networks_10	245
205	L	-25.41	39.8	-9.43	Frontal	lateralorbitofrontal	Cingulo-opercular	7Networks_6	17Networks_8	49
206	L	-21.66	31.82	-15.8	Frontal	lateralorbitofrontal	Frontal-Parietal	7Networks_5	17Networks_10	246
207	L	-19.66	11.36	-18.28	Frontal	lateralorbitofrontal	none	7Networks_5	17Networks_10	344
208	L	-16.7	47.25	-13.56	Frontal	lateralorbitofrontal	Frontal-Parietal	7Networks_5	17Networks_10	247
209	L	-14.29	12.82	-19.89	Frontal	lateralorbitofrontal	none	7Networks_5	17Networks_10	345
210	L	-9.92	30.62	-18.46	Frontal	lateralorbitofrontal	none	7Networks_5	17Networks_10	346
211	L	-5.19	48.42	-14.09	Frontal	medialorbitofrontal	Default	7Networks_5	17Networks_10	140
212	L	-13.38	12.26	-15.68	Frontal	lateralorbitofrontal	none	7Networks_5	17Networks_10	347
213	L	-7.97	12.41	-17.02	Frontal	medialorbitofrontal	none	7Networks_5	17Networks_10	348
214	L	-54.63	-26.78	-12.83	Temporal	middletemporal	Frontal-Parietal	7Networks_7	17Networks_17	248
215	L	-59.84	-15.35	-11	Temporal	middletemporal	Default	7Networks_7	17Networks_17	141
216	L	-50.85	-8.38	-23.24	Temporal	middletemporal	Default	7Networks_7	17Networks_17	142
217	L	-43.34	-2.85	-28.34	Temporal	middletemporal	Frontal-Parietal	7Networks_5	17Networks_9	249
218	L	-40.02	6.15	-30.74	Temporal	middletemporal	Default	7Networks_5	17Networks_9	143
219	L	-34.55	11.95	-24.46	Temporal	superiortemporal	none	7Networks_5	17Networks_9	349
220	L	-27.52	-43.13	-8.93	Temporal	fusiform	Parieto-Occipital	7Networks_1	17Networks_15	419
